target,prediction,probability
0.0,0.0,0.020428771879982155
0.0,0.0,0.020091598317597808
0.0,0.0,0.07315112144372395
0.0,0.0,0.23156741031339576
0.0,0.0,0.010522908359532306
0.0,0.0,0.021222699409500626
0.0,0.0,0.02220122156452115
0.0,0.0,0.027726718042576762
0.0,0.0,0.05293701545899499
0.0,0.0,0.04664417583208789
0.0,0.0,0.14974246286624718
0.0,0.0,0.014727216680831752
0.0,0.0,0.016505211541294272
0.0,0.0,0.023703282116539482
0.0,0.0,0.18609899976723177
0.0,0.0,0.023457634038223273
0.0,0.0,0.030248579350035065
0.0,0.0,0.043705393751057364
0.0,0.0,0.04826088613323265
0.0,0.0,0.05344218962917061
0.0,0.0,0.05344218962917061
0.0,0.0,0.019494837284966777
0.0,0.0,0.058617922864350774
0.0,0.0,0.07921049230649381
0.0,0.0,0.21097810957667004
0.0,0.0,0.02161368494472111
0.0,0.0,0.014445279603251282
0.0,0.0,0.014445279603251282
0.0,0.0,0.047815559648541665
0.0,0.0,0.020006643926880608
0.0,0.0,0.02297603951401651
0.0,0.0,0.022848854446228375
0.0,0.0,0.03819133684496131
0.0,0.0,0.020912000140595178
0.0,0.0,0.020912000140595178
0.0,0.0,0.015285123431325683
0.0,0.0,0.01672264565746665
0.0,0.0,0.01667838302138478
0.0,0.0,0.17677986600230022
0.0,0.0,0.15389991603640607
0.0,0.0,0.024822075539530475
0.0,0.0,0.024822075539530475
0.0,0.0,0.024776281591101082
0.0,0.0,0.014350266843054071
0.0,0.0,0.042203527267671015
0.0,0.0,0.04374459960089939
0.0,0.0,0.0265588628645797
0.0,0.0,0.0240962833464452
0.0,0.0,0.08444095438850957
0.0,0.0,0.05882208546783752
0.0,0.0,0.012131031924499594
0.0,0.0,0.05764564598036643
0.0,0.0,0.055912713139607016
0.0,0.0,0.17854817834991196
0.0,0.0,0.2450870529360234
0.0,0.0,0.2107800674122072
0.0,0.0,0.015333115921173332
0.0,0.0,0.025060117346439526
0.0,0.0,0.042310312905774895
0.0,0.0,0.047478013142105396
0.0,0.0,0.015011346068187546
0.0,0.0,0.05825367430170297
0.0,0.0,0.015248165686990745
0.0,0.0,0.015368549711732063
0.0,0.0,0.04406898105428602
0.0,0.0,0.020490174611520237
0.0,0.0,0.02049891380270812
0.0,0.0,0.017162278183363494
0.0,0.0,0.01712265437821996
0.0,0.0,0.02662671545950729
0.0,0.0,0.026621481916691808
0.0,0.0,0.08488665244852679
